                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.89429,                0.63946,                0.89049,                0.67113,                0.76376,                 0.7668,                  0.564,                0.97328,                0.92827,                 0.9338,               0.001387,               0.001387,               0.001387
                     90,                0.89539,                0.63373,                0.88996,                 0.6551,                0.77196,                0.75775,                0.55645,                0.97139,                0.91917,                0.93426,               0.001288,               0.001288,               0.001288
                     91,                0.90393,                0.65373,                0.90427,                0.68112,                0.74752,                0.76369,                0.55886,                0.97155,                0.92187,                0.93478,               0.001189,               0.001189,               0.001189
                     92,                0.89587,                0.61883,                0.90261,                0.64906,                  0.771,                0.75292,                0.55098,                0.99045,                0.94376,                0.94097,                0.00109,                0.00109,                0.00109
                     93,                0.89409,                0.61223,                0.90343,                0.66269,                0.78739,                0.75878,                 0.5583,                0.98232,                0.91624,                0.93732,               0.000991,               0.000991,               0.000991
                     94,                0.89152,                0.60205,                0.90644,                0.67641,                0.77196,                0.76663,                0.56408,                0.97083,                0.92267,                0.93455,               0.000892,               0.000892,               0.000892
                     95,                  0.888,                 0.5998,                0.89995,                0.66552,                0.77907,                 0.7672,                0.56168,                0.98149,                 0.9227,                0.93696,               0.000793,               0.000793,               0.000793
                     96,                0.87784,                0.58577,                0.89858,                0.68857,                0.73168,                0.76334,                0.55748,                0.98717,                0.94238,                0.93925,               0.000694,               0.000694,               0.000694
                     97,                0.88271,                0.59332,                0.90404,                0.68816,                0.74441,                0.76328,                0.55847,                0.98772,                0.95176,                0.93804,               0.000595,               0.000595,               0.000595
                     98,                  0.882,                0.58746,                0.90074,                0.69541,                0.74757,                0.76686,                0.56164,                0.98334,                0.94353,                0.93872,               0.000496,               0.000496,               0.000496
                     99,                0.87875,                0.57898,                0.89557,                0.69531,                 0.7405,                0.76195,                0.55775,                0.97901,                0.93036,                0.93627,               0.000397,               0.000397,               0.000397
                    100,                 0.8781,                 0.5755,                0.89553,                0.68267,                 0.7456,                0.76163,                0.55814,                0.97554,                 0.9474,                0.93587,               0.000298,               0.000298,               0.000298
